route_path,menu_title,parent_group,component_file,permission,route_name,football_path,football_component,component_name,hide_in_menu,in_layout,excluded_m9,data_scope,menu_id
/external-account,外部账号分析,作品监测,@/views/account/ExternalAccountAnalysis.vue,oa:external-account:list,ExternalAccount,/ops/external-account,ops/account/ExternalAccountAnalysis,ExternalAccount,N,Y,N,,
/high-fans-account,高粉账号分析,作品监测,@/views/account/HighFansAccountAnalysis.vue,oa:high-fans:list,HighFansAccount,/ops/high-fans-account,ops/account/HighFansAccountAnalysis,HighFansAccount,N,Y,N,MEMBER_GROUPS,6112
/hot-works,爆款作品分析,作品监测,@/views/content/HotWorksAnalysis.vue,oa:hot-works:list,HotWorks,/ops/hot-works,ops/content/HotWorksAnalysis,HotWorks,N,Y,N,MEMBER_GROUPS,6113
/ip-theme,IP主题数据,作品监测,@/views/content/IPThemeData.vue,oa:ip-theme:list,IPTheme,/ops/ip-theme,ops/content/IPThemeData,IPTheme,N,Y,N,,
/low-fans-account,低粉账号分析,作品监测,@/views/account/LowFansAccountAnalysis.vue,oa:low-fans:list,LowFansAccount,/ops/low-fans-account,ops/account/LowFansAccountAnalysis,LowFansAccount,N,Y,N,MEMBER_GROUPS,6115
/low-score,低分作品分析,作品监测,@/views/content/LowScoreAnalysis.vue,oa:low-score:list,LowScore,/ops/low-score,ops/content/LowScoreAnalysis,LowScore,N,Y,N,MEMBER_GROUPS,6116
/content,内容管理,内容生产,@/views/production/content/index.vue,oa:content:list,Content,/ops/content,ops/production/content/index,Content,N,Y,N,,
/content/review,内容审核,内容生产,@/views/production/content/review.vue,oa:content:list,ContentReview,/ops/content/review,ops/production/content/review,ContentReview,N,Y,N,,
/knowledge,内容知识库,内容生产,@/views/production/knowledge/index.vue,oa:knowledge:list,Knowledge,/ops/knowledge,ops/production/knowledge/index,Knowledge,N,Y,N,,
/layout-template,公推模板库,内容生产,@/views/production/layout-template/index.vue,oa:layout-template:list,LayoutTemplate,/ops/layout-template,ops/production/layout-template/index,LayoutTemplate,N,Y,N,,
/plan,计划管理,内容生产,@/views/production/plan/index.vue,oa:plan:list,Plan,/ops/plan,ops/production/plan/index,Plan,N,Y,N,SELF_CREATOR,6121
/plan/:id,计划详情,,@/views/production/plan/detail.vue,oa:plan:list,PlanDetail,/ops/plan/:id,ops/production/plan/detail,PlanDetail,N,N,N,SELF_CREATOR,6121
/sop,SOP管理,内容生产,@/views/production/sop/index.vue,oa:sop:list,Sop,/ops/sop,ops/production/sop/index,Sop,N,Y,N,,
/sop/review,SOP审核,内容生产,@/views/production/sop/review.vue,oa:sop:list,SopReview,/ops/sop/review,ops/production/sop/review,SopReview,N,Y,N,,
/task,任务管理,内容生产,@/views/production/task/index.vue,oa:task:list,Task,/ops/task,ops/production/task/index,Task,N,Y,N,ASSIGNEE,6124
/custom-query,自定义查询,数据分析,@/views/analysis/CustomQuery.vue,oa:custom-query:list,CustomQuery,/ops/custom-query,ops/analysis/CustomQuery,CustomQuery,N,Y,N,SELF_CREATOR,6125
/data-report,数据报表,数据分析,@/views/analysis/ReportCenter.vue,oa:report:list,DataReport,/ops/data-report,ops/analysis/ReportCenter,DataReport,N,Y,N,,
